name,unicode,keywords,definition
antenna bars,U+1F4F6,cell phone telephone mobile bar signal antenna,"Bars increasing in height, showing the strength of the mobile (cellular) phone signal. More bars signifies better reception. Antenna Bars wa http://emojipedia.org/antenna-with-bars/"
no mobile phones,U+1F4F5,cell phone telephone mobile forbidden not prohibited no,"A mobile phone with a red stroke through it, indicating that mobile phones should not be present. Often seen in restricted areas, such as Cu http://emojipedia.org/no-mobile-phones/"
mobile phone off,U+1F4F4,cell phone telephone mobile off,A sign indicating that mobile phones should be turned off. Used in situations such as a cinema or live performance. Displayed as a mobile ph http://emojipedia.org/mobile-phone-off/
vibration mode,U+1F4F3,cell phone vibration telephone mobile mode,"An icon representing vibration mode on a mobile phone, used as a silent alternative to notification sounds. Appears like a phone with a hear http://emojipedia.org/vibration-mode/"
mobile phone with arrow,U+1F4F2,cell phone telephone mobile call arrow receive,"A mobile phone, with an arrow pointing toward it. Intended to be used for an incoming phone call, but could also indicate anything on the de http://emojipedia.org/mobile-phone-with-rightwards-arrow-at-left/"
mobile phone,U+1F4F1,cell phone telephone mobile,"A mobile phone, referred to a cellular or cell phone in some countries. The artwork for this emoji varies by platform, with Apple, Google, S http://emojipedia.org/mobile-phone/"
newspaper,U+1F4F0,news paper,A newspaper: how people used to read news from the previous day prior widespread internet access. Shown with various forms of placeholder te http://emojipedia.org/newspaper/
postal horn,U+1F4EF,post postal horn,A postal horn (usually called a post horn) was used in the 18th and 19th centuries to indicate that a mail coach was arriving to deliver the http://emojipedia.org/postal-horn/
postbox,U+1F4EE,mail mailbox,"A postbox, where letters and other mail are posted, in order to be delivered. Postbox was approved as part of Unicode 6.0 in 2010 and added  http://emojipedia.org/postbox/"
open mailbox with lowered flag,U+1F4ED,lowered mail open postbox mailbox,"An open mailbox, with the flag resting. The lowered flag on the side of the mailbox is used in the USA to indicate that no mail has been del http://emojipedia.org/open-mailbox-with-lowered-flag/"
open mailbox with raised flag,U+1F4EC,mail open postbox mailbox,"An open mailbox, with the flag raised. The flag on the side of the mailbox is used in the USA to indicate mail has been delivered, or that m http://emojipedia.org/open-mailbox-with-raised-flag/"
closed mailbox with raised flag,U+1F4EB,mail closed postbox mailbox,"A closed mailbox, with the flag raised. The flag on the side of the mailbox is used in the USA to indicate mail has been delivered, or that  http://emojipedia.org/closed-mailbox-with-raised-flag/"
closed mailbox with lowered flag,U+1F4EA,lowered mail closed postbox mailbox,"A closed mailbox, with the flag resting. The lowered flag on the side of the mailbox is used in the USA to indicate that no mail has been de http://emojipedia.org/closed-mailbox-with-lowered-flag/"
envelope with arrow,U+1F4E9,letter outgoing mail e-mail sent email envelope arrow down,"An envelope, showing an arrow pointing down. Envelope With Arrow was approved as part of Unicode 6.0 in 2010 under the name “Envelope With D http://emojipedia.org/envelope-with-downwards-arrow-above/"
incoming envelope,U+1F4E8,incoming mail email letter receive envelope e-mail,"An envelope shown to be arriving, or incoming. Incoming Envelope was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. http://emojipedia.org/incoming-envelope/"
e-mail,U+1F4E7,mail email letter,"A symbol to be used for representing email. As there is no universal email logo or symbol, this differs between platforms. Shown as the lett http://emojipedia.org/e-mail-symbol/"
package,U+1F4E6,parcel box,"A parcel or package being delivered, containing the goods of an online order. The Apple version of this emoji has a wine glass symbol on the http://emojipedia.org/package/"
inbox tray,U+1F4E5,mail tray letter box receive inbox,"An inbox tray, often used as an icon for an email inbox. A paper tray, with an arrow pointing down, into the tray. Inbox Tray was approved a http://emojipedia.org/inbox-tray/"
outbox tray,U+1F4E4,mail sent tray letter box outbox,"An inbox tray, often used as an icon for an email outbox. A paper tray, with an arrow pointing up, out of the tray. Outbox Tray was approved http://emojipedia.org/outbox-tray/"
loudspeaker,U+1F4E2,loud public address,"A loudspeaker used to make announcements in public areas such as schools, or sporting grounds. Loudspeaker was approved as part of Unicode 6 http://emojipedia.org/public-address-loudspeaker/"
satellite antenna,U+1F4E1,satellite dish antenna,A type of antenna used for the transmission of data. Often associated with satellite television or internet. Satellite Antenna was approved  http://emojipedia.org/satellite-antenna/
fax machine,U+1F4E0,fax,"A fax machine,  which allows the sending of a scanned page of text or images over a standard telephone line. Popular in the 1980s and 1990s, http://emojipedia.org/fax-machine/"
telephone receiver,U+1F4DE,phone telephone receiver,"A telephone receiver; the part of a telephone with a microphone to speak into, and a speaker to listen to the person on the other end of the http://emojipedia.org/telephone-receiver/"
name badge,U+1F4DB,badge name,"A name badge, used to identify oneself in a location that others may not know your name, such as a school trip, or a work conference. This t http://emojipedia.org/name-badge/"
orange book,U+1F4D9,orange book,"An orange book, which reads “Vol. 4 by John Appleseed” on the cover of Apple’s artwork. Orange Book was approved as part of Unicode 6.0 in 2 http://emojipedia.org/orange-book/"
blue book,U+1F4D8,blue book,"A blue book, which reads “Vol. 3 by John Appleseed” on the cover of Apple’s artwork. Blue Book was approved as part of Unicode 6.0 in 2010 a http://emojipedia.org/blue-book/"
green book,U+1F4D7,book green,"A green book, which reads “Vol. 2 by John Appleseed” on the cover of Apple’s artwork. Green Book was approved as part of Unicode 6.0 in 2010 http://emojipedia.org/green-book/"
open book,U+1F4D6,open book,"An open, hard-back book with blue cover. In the Apple artwork for this emoji, the book is open to a page with the following text: Here’s to  http://emojipedia.org/open-book/"
closed book,U+1F4D5,closed book,"A closed book, which reads “Vol. 1 by John Appleseed” on the cover of Apple’s artwork. Shown in pink on Android, and orange on Windows. Clos http://emojipedia.org/closed-book/"
notebook with decorative cover,U+1F4D4,book decorated notebook cover,"A notebook with a decorative cover. Unless you are on an Apple device, which shows a rather plain and undecorated cover. Notebook With Decor http://emojipedia.org/notebook-with-decorative-cover/"
bookmark tabs,U+1F4D1,marker tabs bookmark mark,"Bookmark tabs, stuck to pages of a book or document. These indicate important sections, or that a signature or other action must be taken in http://emojipedia.org/bookmark-tabs/"
triangular ruler,U+1F4D0,triangle set ruler,"A triangle-shaped ruler. Used for drawing diagonal lines, or for measurement. Triangular Ruler was approved as part of Unicode 6.0 in 2010 a http://emojipedia.org/triangular-ruler/"
straight ruler,U+1F4CF,straight edge ruler,"A ruler that can be used for drawing straight lines, or measuring length. Straight Ruler was approved as part of Unicode 6.0 in 2010 and add http://emojipedia.org/straight-ruler/"
round pushpin,U+1F4CD,pin pushpin,A pin with a round plastic end. Most commonly used in mapping software to indicate a specific location. Round Pushpin was approved as part o http://emojipedia.org/round-pushpin/
bar chart,U+1F4CA,chart bar graph,A bar chart showing a comparison of figures or other data. Bar Chart was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2 http://emojipedia.org/bar-chart/
fuel pump,U+26FD,fuel station pump gas fuelpump,"A fuel pump, used to fill up a vehicle with gas / petrol. Shown with the letter G on the front in Apple’s artwork. Fuel Pump was approved as http://emojipedia.org/fuel-pump/"
chart decreasing,U+1F4C9,trend chart graph down,"A chart showing figures decreasing over time, with an downward trend. A type of line graph. Chart Decreasing was approved as part of Unicode http://emojipedia.org/chart-with-downwards-trend/"
chart increasing,U+1F4C8,growth trend upward chart graph,"A chart showing figures increasing over time, with an upward tick. A type of line graph. Chart Increasing was approved as part of Unicode 6. http://emojipedia.org/chart-with-upwards-trend/"
card index,U+1F4C7,rolodex index card,"An index file containing a list of information on small, printed cards. Commonly used for displaying contacts, and their contact details. Th http://emojipedia.org/card-index/"
tear-off calendar,U+1F4C6,calendar,"A tear-off calendar, featuring a single day, with ring-binders across the top for changing dates. Not to be confused with the Calendar emoji http://emojipedia.org/tear-off-calendar/"
person bouncing ball,U+26F9,ball,"A person with a ball, which is generally displayed as a basketballer running and dribbling (bouncing) the basketball. Person Bouncing Ball w http://emojipedia.org/person-with-ball/"
page facing up,U+1F4C4,document page,"A piece of paper, with the printed contents facing up. Page Facing Up was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in  http://emojipedia.org/page-facing-up/"
ice skate,U+26F8,skate ice,A single skate used in the sport or recreational activity of ice skating. Shown facing to the left on all platforms. Ice Skate was approved  http://emojipedia.org/ice-skate/
page with curl,U+1F4C3,document curl page,"A printed page, curled at the bottom. The Apple version of this emoji contains the following words: Dear Katie, Here’s to the crazy ones. Th http://emojipedia.org/page-with-curl/"
skier,U+26F7,ski snow,"A person downhill-skiiing. Displayed with poles and skis, generally wearing a mask. Platforms vary in display of scarf, helmet, and color of http://emojipedia.org/skier/"
open file folder,U+1F4C2,open file folder,An open folder used to store files in a filing cabinet. May be used as an icon for an opened folder when browsing computer files. Open File  http://emojipedia.org/open-file-folder/
file folder,U+1F4C1,file folder,A folder used to store files in a filing cabinet. Also used as an icon for a folder on most GUI operating systems. File Folder was approved  http://emojipedia.org/file-folder/
sailboat,U+26F5,resort sea yacht boat,"A sailboat, otherwise known as a sailing boat or yacht.  Uses wind as the source of propulsion to move around a body of water. The color of  http://emojipedia.org/sailboat/"
dvd,U+1F4C0,blu-ray computer disk optical dvd,Stands for Digital Video Disc (or Digital Versatile Disc); a type of optical media used for movie distribution (DVD Video) or storing files  http://emojipedia.org/dvd/
ferry,U+26F4,passenger boat,Ferry was approved as part of Unicode 5.2 in 2009 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/ferry/
flag in hole,U+26F3,hole golf,"A red, triangular flag shown sitting in the hole of a golf course green. Some versions of this emoji also include golf balls. Android previo http://emojipedia.org/flag-in-hole/"
umbrella on ground,U+26F1,umbrella sun rain,"An umbrella planted on the ground for shade protection, often at a beach or park. Umbrella on Ground was approved as part of Unicode 5.2 in  http://emojipedia.org/umbrella-on-ground/"
optical disk,U+1F4BF,computer disk cd optical,"A optical disc, of which the most common types are the CD and DVD. Can be used to store computer files, or used for distribution of music or http://emojipedia.org/optical-disc/"
floppy disk,U+1F4BE,floppy computer disk,"A popular form of transferring files in the 1980s and 1990s. This is the 3.5? inch variant of the floppy disk, which had a hard outer shell. http://emojipedia.org/floppy-disk/"
computer disk,U+1F4BD,computer minidisk disk optical,"A minidisc looks like a small optical disc, in a permanent plastic case approximately the size of a cassette tape. Minidisc was briefly expe http://emojipedia.org/minidisc/"
laptop computer,U+1F4BB,personal pc computer,"A personal computer, most commonly shown as a laptop computer. Some systems display this as a desktop computer with a mouse. This emoji prev http://emojipedia.org/personal-computer/"
church,U+26EA,religion christian cross,"A church building, generally associated with Christian denominations. In addition quiet prayer, churches hold regular worship services, wedd http://emojipedia.org/church/"
chart increasing with yen,U+1F4B9,money upward market yen trend bank chart rise currency growth graph,A graph showing the current value of the Japanese Yen. Chart Increasing With Yen was approved as part of Unicode 6.0 in 2010 under the name  http://emojipedia.org/chart-with-upwards-trend-and-yen-sign/
money with wings,U+1F4B8,dollar bank wings note money fly banknote bill,A pile of three cash notes (US Dollar Bills in the Apple artwork) with a money clip that has wings attached. The money is flying away. Money http://emojipedia.org/money-with-wings/
pound banknote,U+1F4B7,pound currency bank note money banknote bill,"British money – a £20 note, used in England, Wales, Scotland and Northern Ireland. Colloquially referred to as “quid” in parts of the United http://emojipedia.org/banknote-with-pound-sign/"
euro banknote,U+1F4B6,currency bank note money euro banknote bill,"A Euro Banknote, used in many countries of the European Union. Commonly shown as the Hundred Euro (€100) note, or simplified to display a Eu http://emojipedia.org/banknote-with-euro-sign/"
dollar banknote,U+1F4B5,dollar currency bank note money banknote bill,Cash money in the form of a dollar note (bill). Appears as a $1 note issued in United States Dollars (USD) in Apple’s artwork (with Cupertin http://emojipedia.org/banknote-with-dollar-sign/
shinto shrine,U+26E9,religion shinto shrine,"A shrine used for the Japanese Shinto religion. This emoji generally displays the torii, which is the gate to the Shinto Shrine. The torii i http://emojipedia.org/shinto-shrine/"
yen banknote,U+1F4B4,currency bank yen note money banknote bill,A yen banknote from Japan. Yen Banknote was approved as part of Unicode 6.0 in 2010 under the name “Banknote With Yen Sign” and added to Emo http://emojipedia.org/banknote-with-yen-sign/
credit card,U+1F4B3,bank card money credit,"A credit card emoji, showing the back side of the card with magnetic strip. The Apple artwork for this symbol shows an authorised signature  http://emojipedia.org/credit-card/"
heavy dollar sign,U+1F4B2,dollar currency money,Heavy Dollar Sign was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/heavy-dollar-sign/
currency exchange,U+1F4B1,currency exchange bank money,"A symbol for exchanging of two currencies. Most commonly displayed as a dollar symbol, with arrows to and from a yen symbol. Some platforms  http://emojipedia.org/currency-exchange/"
money bag,U+1F4B0,dollar money moneybag bag,"A bag that is full of money. Most likely coins, given the shape of the bag. Has a dollar $ sign on it, so as to not confuse it with other ba http://emojipedia.org/money-bag/"
hundred points,U+1F4AF,full 100 hundred score,"100 emoji: the number one-hundred, written in red, underlined twice for emphasis. Originating from the number 100 written on a school exam o http://emojipedia.org/hundred-points-symbol/"
white flower,U+1F4AE,flower,"An emoji symbol of a white flower, often a cherry blossom. The Apple artwork contains Japanese text on the inside that translates to mean “W http://emojipedia.org/white-flower/"
thought balloon,U+1F4AD,thought comic bubble balloon,"A large cloud-like shape more commonly known as a Thought Bubble. Used to represent thinking, or thoughts, and commonly used in comics to di http://emojipedia.org/thought-balloon/"
speech balloon,U+1F4AC,speech comic bubble dialog balloon,A cartoon-style balloon used to represent spoken word in comics. Sometimes  used in communication apps to indicate that another person is ty http://emojipedia.org/speech-balloon/
dizzy,U+1F4AB,comic star,"A symbol used in comics or other visual mediums, indicating that a person is dizzy. This is usually shown as a circle of stars surrounding t http://emojipedia.org/dizzy-symbol/"
flexed biceps,U+1F4AA,muscle comic flex biceps,"An arm flexing to show its biceps muscle. Represents strength, or working out. Flexed Biceps was approved as part of Unicode 6.0 in 2010 and http://emojipedia.org/flexed-biceps/"
pile of poo,U+1F4A9,poop comic poo monster face dung,A pile of poo that is shaped like a soft-serve ice cream. Brown in color with a friendly smile in most versions of this emoji. Previously sh http://emojipedia.org/pile-of-poo/
dashing away,U+1F4A8,comic running dash,"A gust of air, representing the fast movement of a person or object to the left of this character. Can be used in combination with another e http://emojipedia.org/dash-symbol/"
droplet,U+1F4A7,comic cold drop sweat,"A single drop of water, or another blue liquid. May be used as a single drop of sweat. Droplet was approved as part of Unicode 6.0 in 2010 a http://emojipedia.org/droplet/"
sweat droplets,U+1F4A6,comic sweat splashing,"Beads of sweat splashing in a single direction. Is not distinguishable from splashing water, and is often used as water instead of sweat. So http://emojipedia.org/splashing-sweat-symbol/"
collision,U+1F4A5,comic boom,A symbol that represents a crash or collision. An angular burst of orange and red in a star-like shape. Collision was approved as part of Un http://emojipedia.org/collision-symbol/
zzz,U+1F4A4,comic sleep,"A series of three Zs making a Zzz. Represents sleeping, or snoring. Can also be used in some contexts to mean “boring”. Zzz was approved as  http://emojipedia.org/sleeping-symbol/"
anger symbol,U+1F4A2,comic angry mad,A red symbol found in Anime/Manga and used to represent the veins popping on a very angry person. Also used in other comic books to indicate http://emojipedia.org/anger-symbol/
light bulb,U+1F4A1,light electric comic bulb idea,"A light bulb, used to light up a room. Can be used to indicate an idea when placed above a face. Light Bulb was approved as part of Unicode  http://emojipedia.org/electric-light-bulb/"
diamond with a dot,U+1F4A0,inside comic geometric diamond,"A glyph that is used for kawaii in Japan, resembling the shape of a flower. Diamond With a Dot was approved as part of Unicode 6.0 in 2010 u http://emojipedia.org/diamond-shape-with-a-dot-inside/"
no entry,U+26D4,forbidden not entry traffic prohibited no,No Entry was approved as part of Unicode 5.2 in 2009 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/no-entry/
rescue worker’s helmet,U+26D1,hat helmet face aid cross,"A construction helmet, which is worn by the construction worker emoji in some emoji sets. The cross on the helmet (shown in the Apple versio http://emojipedia.org/helmet-with-white-cross/"
pick,U+26CF,tool mining,Pick was approved as part of Unicode 5.2 in 2009 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/pick/
Ophiuchus,U+26CE,bearer snake zodiac serpent,Ophiuchus is used by some as a 13th sign in the Zodiac. The symbol for ophiuchus appears a U shape with a wavy line through it. Ophiuchus wa http://emojipedia.org/ophiuchus/
cloud with lightning and rain,U+26C8,cloud rain thunder,Cloud With Lightning and Rain was approved as part of Unicode 5.2 in 2009 under the name “Thunder Cloud and Rain” and added to Emoji 1.0 in  http://emojipedia.org/thunder-cloud-and-rain/
sun behind cloud,U+26C5,cloud sun,A sun appearing from behind a cloud. Used in weather forecasts to indicate a partially sunny day. Sun Behind Cloud was approved as part of U http://emojipedia.org/sun-behind-cloud/
snowman without snow,U+26C4,cold snowman snow,"A snowman emoji, made out of snow (usually by children) in winter. The name Snowman Without Snow indicates that it is not snowing on the sno http://emojipedia.org/snowman-without-snow/"
soccer ball,U+26BD,soccer football ball,"A round, black and white ball used in the game of soccer, which is known as football in much of the world. Soccer Ball was approved as part  http://emojipedia.org/soccer-ball/"
funeral urn,U+26B1,urn death funeral ashes,An urn used for the storage of ashes after cremation. Funeral Urn was approved as part of Unicode 4.1 in 2005 and added to Emoji 1.0 in 2015 http://emojipedia.org/funeral-urn/
black circle,U+26AB,circle geometric,Black Circle was approved as part of Unicode 4.1 in 2005 under the name “Medium Black Circle” and added to Emoji 1.0 in 2015. Copy and paste http://emojipedia.org/medium-black-circle/
white circle,U+26AA,circle geometric,White Circle was approved as part of Unicode 4.1 in 2005 under the name “Medium White Circle” and added to Emoji 1.0 in 2015. Copy and paste http://emojipedia.org/medium-white-circle/
high voltage,U+26A1,zap electric danger lightning electricity voltage,"Most commonly used as a lightning bolt for stormy weather, this symbol is intended to be a warning for high voltage Apple also uses this sym http://emojipedia.org/high-voltage-sign/"
exclamation question mark,U+2049,exclamation question interrobang punctuation mark,Exclamation Question Mark was approved as part of Unicode 3.0 in 1999 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/exclamation-question-mark/
double exclamation mark,U+203C,exclamation bangbang punctuation mark,Double Exclamation Mark was approved as part of Unicode 1.1 in 1993 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/double-exclamation-mark/
heart decoration,U+1F49F,heart,A decorative heart that displays on Apple devices as a white heart-shaped cutout in a pink or purple roundrect. Heart Decoration was approve http://emojipedia.org/heart-decoration/
revolving hearts,U+1F49E,revolving,"Hearts revolving around one or more other hearts. Apple’s artwork for this emoji shows two hearts switching places, with a circular line sim http://emojipedia.org/revolving-hearts/"
heart with ribbon,U+1F49D,valentine ribbon,"A heart-shaped box, tied with a ribbon. May be a gift box, box of chocolates, or a jewellery box. Heart With Ribbon was approved as part of  http://emojipedia.org/heart-with-ribbon/"
purple heart,U+1F49C,purple,A purple heart emoji. Shown as pink in Android 4.4. Purple Heart was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. http://emojipedia.org/purple-heart/
yellow heart,U+1F49B,yellow,"A yellow or gold colored love-heart. Inexplicably, this displayed as a pink hairy heart on Android 4.4. On Snapchat, this emoji next to a co http://emojipedia.org/yellow-heart/"
green heart,U+1F49A,green,A green heart emoji. The Android 4.4 artwork for this emoji appeared to show beads of sweat on an orange and pink heart. Green Heart was app http://emojipedia.org/green-heart/
blue heart,U+1F499,blue,A blue heart emoji. Blue Heart was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/blue-heart/
heart with arrow,U+1F498,cupid arrow,"A heart emoji with an arrow through the center, like the arrow that cupid shoots for love. Heart With Arrow was approved as part of Unicode  http://emojipedia.org/heart-with-arrow/"
growing heart,U+1F497,pulse nervous excited growing,"A pink heart, inside a slightly larger pink heart, inside a larger-again pink heart. Intended to give the impression of a heart increasing i http://emojipedia.org/growing-heart/"
sparkling heart,U+1F496,excited sparkle,"A pink love heart with stars around it, making it look like it is sparkling or shimmering. Sparkling Heart was approved as part of Unicode 6 http://emojipedia.org/sparkling-heart/"
two hearts,U+1F495,love,"Two pink love hearts. One larger than the other. Can be used to display that “love is in the air”. On Snapchat, this emoji next to a contact http://emojipedia.org/two-hearts/"
broken heart,U+1F494,break broken,"A love heart, broken in two. This emoji represents the aching one feels when they are missing the  person they love. Broken Heart was approv http://emojipedia.org/broken-heart/"
beating heart,U+1F493,pulsating heartbeat beating,"A heart with vibration / movement lines above it, indicating it is a beating heart. This emoji is used as a beating heart either representin http://emojipedia.org/beating-heart/"
wedding,U+1F492,romance chapel,"A church building with a love heart above it, symbolising a wedding inside the building, usually with bride and groom. Wedding was approved  http://emojipedia.org/wedding/"
couple with heart,U+1F491,love couple,"A couple standing next to each other, smiling, with a pink love heart floating in the air between them. Generally displayed as a woman and m http://emojipedia.org/couple-with-heart/"
gem stone,U+1F48E,jewel gem diamond,"A gem that appears blue on screen, but is presumably intended to appear of similar shade to a diamond. Gem Stone was approved as part of Uni http://emojipedia.org/gem-stone/"
love letter,U+1F48C,heart mail love letter,"A white envelope, sealed with a sticker or seal of a red love heart. Contains a love letter. Love Letter was approved as part of Unicode 6.0 http://emojipedia.org/love-letter/"
kiss mark,U+1F48B,kiss lips,"The mark left after a firm kiss is placed with bright lipstick. Used in place of ‘xxx’ (kisses), or to send a kiss to someone. More seductiv http://emojipedia.org/kiss-mark/"
pill,U+1F48A,medicine doctor sick,"A type of pill, or capsule. Shown on most platforms as half red, half yellow. Notable exceptions include Android (blue), Windows (red and bl http://emojipedia.org/pill/"
syringe,U+1F489,medicine doctor tool shot sick needle,"A syringe, containing what appears to be blood. May be from a blood test at the hospital. Syringe was approved as part of Unicode 6.0 in 201 http://emojipedia.org/syringe/"
barber pole,U+1F488,barber pole haircut,"A pole with red, white and blue stripes. Traditionally used by barbers out the front of their place of work. May be used in parts of Asia to http://emojipedia.org/barber-pole/"
person getting haircut,U+1F487,parlor beauty barber haircut,"A person in the process of getting their hair cut. This emoji is intended to be gender-neutral, but is commonly shown as a girl or woman smi http://emojipedia.org/haircut/"
person getting massage,U+1F486,salon face massage,A person getting his or her face massaged. Apple’s artwork for this character shows more of a head massage. Google and Microsoft display a m http://emojipedia.org/face-massage/
nail polish,U+1F485,care polish cosmetics manicure nail,"A bottle of nail polish, or colored nail polish being applied to finger nails. Sometimes used at the end of a sentence to display an air of  http://emojipedia.org/nail-polish/"
lipstick,U+1F484,makeup cosmetics,"Lipstick shown with the lid removed. Displays in a shade of red on most platforms, except Android which has a pink color. Lipstick was appro http://emojipedia.org/lipstick/"
woman dancing,U+1F483,dancing woman,"A person dancing, most commonly displayed as a salsa dancing woman wearing a red dress.. Originally intended to be gender-neutral, but now c http://emojipedia.org/dancer/"
person tipping hand,U+1F481,hand sassy help tipping information,"An information desk person, iconically represented in the Apple emoji artwork as a girl holding out her hand as if she were a waitress carry http://emojipedia.org/information-desk-person/"
skull,U+1F480,fairy tale death monster face,A human skull. Not to be confused with the skull and crossbones emoji. Skull was approved as part of Unicode 6.0 in 2010 and added to Emoji  http://emojipedia.org/skull/
angry face with horns,U+1F47F,fairy tale devil imp fantasy demon face,"A less-evil version of a demon; the Imp is a cheeky and mischievous character originating in Germanic Folkore. Shows as purple on iOS, orang http://emojipedia.org/imp/"
alien monster,U+1F47E,creature fairy tale extraterrestrial monster fantasy alien face ufo,"A type of monster or creature that may feature in arcade video games. Often assumed to be an alien, this may have varying appearances across http://emojipedia.org/alien-monster/"
alien,U+1F47D,creature fairy tale extraterrestrial monster fantasy face ufo,"An extra terrestrial alien head, using the stereotypical depiction of an alien with a bald head, large open eyes, and a mouth. iOS displays  http://emojipedia.org/extraterrestrial-alien/"
baby angel,U+1F47C,fairy tale fantasy face baby angel,"An angelic baby with wings, and a halo above its head. Commonly known as a cherub. Baby Angel was approved as part of Unicode 6.0 in 2010 an http://emojipedia.org/baby-angel/"
ghost,U+1F47B,creature fairy tale monster fantasy face,"Boo! A ghost emoji, trying to scare someone. Might also be a halloween costume. Ghost was approved as part of Unicode 6.0 in 2010 and added  http://emojipedia.org/ghost/"
goblin,U+1F47A,creature japanese fairy tale monster fantasy face,"A red mask displayed with thick, hairy eyebrows, and a long nose. Goblin was approved as part of Unicode 6.0 in 2010 under the name “Japanes http://emojipedia.org/japanese-goblin/"
ogre,U+1F479,creature japanese fairy tale monster fantasy face,"A hideous creature with crooked teeth, horns and lots of hair. Called Namahage in Japanapese folklore, this character can be depicted in any http://emojipedia.org/japanese-ogre/"
princess,U+1F478,fairy tale fantasy,"The face of a princess; a young girl or woman wearing a small crown or tiara. Has yellow hair (previously blonde) on Apple devices, but is b http://emojipedia.org/princess/"
construction worker,U+1F477,hat worker construction,A construction worker wearing a hard-hat (safety helmet) for safety. May be tired after a hard day at work. Some platforms display a cross o http://emojipedia.org/construction-worker/
baby,U+1F476,young baby,The face of a young infant (baby). Shows  the face of a baby with a small amount of hair on most platforms; while Android shows a swaddled b http://emojipedia.org/baby/
old woman,U+1F475,old woman,"An elderly female face with gray hair, and visible wrinkles. Old Woman was approved as part of Unicode 6.0 in 2010 under the name “Older Wom http://emojipedia.org/older-woman/"
old man,U+1F474,old man,"An elderly male face with gray (grey) hair, and visible wrinkles. Balding in many versions of this artwork, such as Apple and Microsoft’s im http://emojipedia.org/older-man/"
person wearing turban,U+1F473,turban,A man wearing a turban; a form of customary headwear worn by Sikhs or Muslims. Person Wearing Turban was approved as part of Unicode 6.0 in  http://emojipedia.org/man-with-turban/
man with Chinese cap,U+1F472,hat gua pi mao man,A man wearing a gua pi mao; a type of Chinese hat. Sometimes referred to as a skullcap. Man With Chinese Cap was approved as part of Unicode http://emojipedia.org/man-with-gua-pi-mao/
blond-haired person,U+1F471,blond,"A person with blond hair, which tends to appear as yellow. Displayed as a man on all platforms, this emoji keeps blond hair no matter which  http://emojipedia.org/person-with-blond-hair/"
bride with veil,U+1F470,bride wedding veil,"A bride in traditional western wedding dress with a veil on her head. This veil is white for the Apple emoji, pink in the Google emoji and b http://emojipedia.org/bride-with-veil/"
people with bunny ears partying,U+1F46F,bunny ear partying dancer,An iteration of the Playboy Bunny known in Japan as a Bunny Girl. Usually depicted as an attractive woman  wearing bunny ears; a bunny girl  http://emojipedia.org/woman-with-bunny-ears/
police officer,U+1F46E,officer police cop,"This police officer wears a blue hat, which features a gold badge or shield in the middle. The gender of this emoji is not specified, but is http://emojipedia.org/police-officer/"
two women holding hands,U+1F46D,hand couple woman hold,"Two women holding hands, most likely due to being in a relationship. Two Women Holding Hands was approved as part of Unicode 6.0 in 2010 and http://emojipedia.org/two-women-holding-hands/"
two men holding hands,U+1F46C,twins hand gemini couple zodiac hold man,"Two men holding hands, most likely due to being in a relationship. Two Men Holding Hands was approved as part of Unicode 6.0 in 2010 and add http://emojipedia.org/two-men-holding-hands/"
man and woman holding hands,U+1F46B,hand couple woman hold man,"A man and a woman holding hands, most likely due to being in a relationship. Man and Woman Holding Hands was approved as part of Unicode 6.0 http://emojipedia.org/man-and-woman-holding-hands/"
fleur-de-lis,U+269C,fleur-de-lis,"A decorative symbol that appears like a golden flower, but found in all manner of logos, symbols, and patterns. This symbol forms part of th http://emojipedia.org/fleur-de-lis/"
atom symbol,U+269B,atom atheist,Atom Symbol was approved as part of Unicode 4.1 in 2005 and added to Emoji 1.0 in 2015. Copy and paste this emoji: Copy http://emojipedia.org/atom-symbol/
girl,U+1F467,zodiac young virgo,"The face of a girl, smiling. Differentiated from the woman emoji by the hairstyle which features pigtails which are not present on the woman http://emojipedia.org/girl/"
boy,U+1F466,boy young,"The face of a boy, smiling. Differentiated from the man emoji on Android by wearing a cap, and on iOS by the lack of any facial hair. It is  http://emojipedia.org/boy/"
busts in silhouette,U+1F465,bust silhouette,Generic profile of two people. Often used in interface design to represent users. Busts in Silhouette was approved as part of Unicode 6.0 in http://emojipedia.org/busts-in-silhouette/
bust in silhouette,U+1F464,bust silhouette,Generic profile of one person. Often used in interface design to represent a user. Bust in Silhouette was approved as part of Unicode 6.0 in http://emojipedia.org/bust-in-silhouette/
